trip_id,arrival_time,departure_time,stop_id,stop_sequence
228068,14:52:00,14:52:00,7637,5
228068,14:53:00,14:53:00,7635,6
228068,14:54:00,14:54:00,7715,7
228068,14:56:00,14:56:00,7633,8
228069,14:58:00,14:58:00,7686,1
228069,15:00:00,15:00:00,24483,2
228069,15:03:00,15:03:00,5102,3
228069,15:07:00,15:07:00,7713,4
228069,15:08:00,15:08:00,7637,5
228069,15:09:00,15:09:00,7635,6
228069,15:10:00,15:10:00,7715,7
228069,15:12:00,15:12:00,7633,8
228070,15:14:00,15:14:00,7686,1
228070,15:16:00,15:16:00,24483,2
228070,15:19:00,15:19:00,5102,3
228070,15:23:00,15:23:00,7713,4
228070,15:24:00,15:24:00,7637,5
228070,15:25:00,15:25:00,7635,6
228070,15:26:00,15:26:00,7715,7
228070,15:28:00,15:28:00,7633,8
228071,15:30:00,15:30:00,7686,1
228071,15:32:00,15:32:00,24483,2
228071,15:35:00,15:35:00,5102,3
228071,15:39:00,15:39:00,7713,4
228071,15:40:00,15:40:00,7637,5
228071,15:41:00,15:41:00,7635,6
228071,15:42:00,15:42:00,7715,7
228071,15:44:00,15:44:00,7633,8
228072,15:46:00,15:46:00,7686,1
228072,15:48:00,15:48:00,24483,2
228072,15:51:00,15:51:00,5102,3
228072,15:55:00,15:55:00,7713,4
228072,15:56:00,15:56:00,7637,5
228072,15:57:00,15:57:00,7635,6
228072,15:58:00,15:58:00,7715,7
228072,16:00:00,16:00:00,7633,8
228073,16:02:00,16:02:00,7686,1
228073,16:04:00,16:04:00,24483,2
228073,16:07:00,16:07:00,5102,3
228073,16:11:00,16:11:00,7713,4
228073,16:12:00,16:12:00,7637,5
228073,16:13:00,16:13:00,7635,6
228073,16:14:00,16:14:00,7715,7
228073,16:16:00,16:16:00,7633,8
228074,16:18:00,16:18:00,7686,1
228074,16:20:00,16:20:00,24483,2
228074,16:23:00,16:23:00,5102,3
228074,16:29:00,16:29:00,7713,4
228074,16:30:00,16:30:00,7637,5
228074,16:31:00,16:31:00,7635,6
228074,16:32:00,16:32:00,7715,7
228074,16:34:00,16:34:00,7633,8
228075,16:36:00,16:36:00,7686,1
228075,16:38:00,16:38:00,24483,2
228075,16:41:00,16:41:00,5102,3
228075,16:47:00,16:47:00,7713,4
228075,16:48:00,16:48:00,7637,5
228075,16:49:00,16:49:00,7635,6
228075,16:50:00,16:50:00,7715,7
228075,16:52:00,16:52:00,7633,8
228076,16:54:00,16:54:00,7686,1
228076,16:56:00,16:56:00,24483,2
228076,16:59:00,16:59:00,5102,3
228076,17:05:00,17:05:00,7713,4
228076,17:06:00,17:06:00,7637,5
228076,17:07:00,17:07:00,7635,6
228076,17:08:00,17:08:00,7715,7
228076,17:10:00,17:10:00,7633,8
228077,17:12:00,17:12:00,7686,1
228077,17:14:00,17:14:00,24483,2
228077,17:17:00,17:17:00,5102,3
228077,17:23:00,17:23:00,7713,4
228077,17:24:00,17:24:00,7637,5
228077,17:25:00,17:25:00,7635,6
228077,17:26:00,17:26:00,7715,7
228077,17:28:00,17:28:00,7633,8
228078,17:30:00,17:30:00,7686,1
228078,17:32:00,17:32:00,24483,2
228078,17:35:00,17:35:00,5102,3
228078,17:41:00,17:41:00,7713,4
228078,17:42:00,17:42:00,7637,5
228078,17:43:00,17:43:00,7635,6
228078,17:44:00,17:44:00,7715,7
228078,17:46:00,17:46:00,7633,8
228079,17:48:00,17:48:00,7686,1
228079,17:50:00,17:50:00,24483,2
228079,17:53:00,17:53:00,5102,3
228079,17:59:00,17:59:00,7713,4
228079,18:00:00,18:00:00,7637,5
228079,18:01:00,18:01:00,7635,6
228079,18:02:00,18:02:00,7715,7
228079,18:04:00,18:04:00,7633,8
228080,18:06:00,18:06:00,7686,1
228080,18:08:00,18:08:00,24483,2
228080,18:11:00,18:11:00,5102,3
228080,18:15:00,18:15:00,7713,4
228080,18:16:00,18:16:00,7637,5
228080,18:17:00,18:17:00,7635,6
228080,18:18:00,18:18:00,7715,7
228080,18:20:00,18:20:00,7633,8
228081,18:22:00,18:22:00,7686,1
